company_id,layer,field_group,status,severity,source_plan,next_action
MSFT,L0,raw_financials_segments_text,complete,low,"SEC + Microsoft IR release/transcript","None for deterministic workflow"
MSFT,L2,company_specific_surprise,complete,low,"Microsoft actuals + dated Bloomberg/Public.com snapshot via Capital.com","None; preserve GAAP and constant-currency basis"
MSFT,L2,peer_multiples_pit,complete,low,"Henry Fund report dated 2026-04-22","Replace with licensed FactSet export only if competition requires provider-native data"
MSFT,L3,pre_event_valuation_reference,complete,low,"Capital.com dated snapshot: target 565.28; 32 analysts","None for public-data workflow"
MSFT,L4,forecast_history,complete,medium,"Zacks history + Microsoft guidance","Filter by source_type before comparing analyst and management forecasts"
MSFT,L7,post_event_ground_truth,complete,medium,"StockAnalysis snapshot + Yahoo event prices","Immediate post-result target history still requires a licensed historical consensus provider"
AMZN,L0,raw_financials_segments_text,complete,low,"Amazon official release and slides","Full call transcript remains optional for richer tone NLP"
AMZN,L2,company_specific_surprise,complete,low,"Amazon actuals + dated consensus snapshot","GAAP EPS includes investment gain; foreground AWS revenue and margin"
AMZN,L2,peer_multiples_pit,complete,low,"Henry Fund common cloud peer table dated 2026-04-22","Replace with licensed provider export only if required"
AMZN,L3,pre_event_valuation_reference,complete,low,"Capital.com dated snapshot: target 287.24; 41 analysts","None for public-data workflow"
AMZN,L4,forecast_history,complete,medium,"Amazon guidance + dated estimate history","Filter by source_type and EPS basis"
AMZN,L7,post_event_ground_truth,complete,medium,"StockAnalysis snapshot + Yahoo event prices","Immediate post-result target history still requires a licensed historical consensus provider"
PTT,L0,raw_financials_segments_text,complete,low,"PTT official statements and performance call","None for deterministic workflow"
PTT,L2,company_specific_surprise,complete,low,"KS pre-result + Globlex post-result","KS page EPS is excluded because it conflicts with net income/share count"
PTT,L2,peer_multiples_pit,complete,low,"InnovestX table dated 2026-05-06","None for public-data workflow"
PTT,L3,pre_event_valuation_reference,complete_with_house_reference,medium,"KS Hold/THB37.20 versus INVX SOTP/THB44","Historical aggregate IAA remains unavailable without manual/licensed snapshot"
PTT,L4,forecast_history,complete,low,"UOBKH + TrueID/Thunhoon + KS forecasts; INVX/Globlex actuals","None for three-quarter broker-house history"
PTT,L7,post_event_ground_truth,complete,low,"Globlex Buy/THB45 + Yahoo analyst-meeting prices","Keep earnings-release and analyst-meeting event windows distinct"
ALL,L5_L6,source_and_field_provenance,complete,low,"source_catalog.csv + field_provenance_2026-07-17.csv","Regenerate provenance after any fixture change"
ALL,L0_L9,licensed_historical_consensus,not_available,medium,"FactSet/Bloomberg/Visible Alpha/LSEG/SETSMART","Purchase or manually export only if provider-native historical aggregates are mandatory"
