company_id,layer,field,value,unit,source,source_url,as_of_date,confidence,note
MSFT,L2,prior_estimates.revenue,81.40,USD_billion,Zacks Q3 FY2026 estimate article,https://www.zacks.com/stock/news/2911340/microsoft-msft-reports-q3-earnings-what-key-metrics-have-to-say,2026-04-29,medium,"Reported revenue 82.89B vs Zacks consensus 81.4B"
MSFT,L2,prior_estimates.eps,4.07,USD_per_share,Zacks Q3 FY2026 earnings article,https://www.zacks.com/stock/news/2911230/microsoft-msft-beats-q3-earnings-and-revenue-estimates,2026-04-29,medium,"Zacks consensus EPS before result; comparable to reported EPS 4.27"
MSFT,L3,consensus_target,558.77,USD,StockAnalysis/S&P Global Market Intelligence,https://stockanalysis.com/stocks/msft/statistics/,2026-07-17,medium,"Public provider snapshot; changed from older MarketBeat placeholder"
MSFT,L3,n_analysts,56,count,StockAnalysis/S&P Global Market Intelligence,https://stockanalysis.com/stocks/msft/statistics/,2026-07-17,medium,"Analyst count from public statistics page"
AMZN,L2,prior_estimates.revenue,177.85,USD_billion,Zacks Q1 2026 preview,https://www.zacks.com/stock/news/2905495/amazon-amzn-earnings-expected-to-grow-what-to-know-ahead-of-next-weeks-release,2026-04-22,medium,"Zacks revenue consensus before Q1 result"
AMZN,L2,prior_estimates.eps_adjusted,1.61,USD_per_share,Zacks Q1 2026 preview,https://www.zacks.com/stock/news/2905495/amazon-amzn-earnings-expected-to-grow-what-to-know-ahead-of-next-weeks-release,2026-04-22,medium,"Adjusted EPS consensus; do not compare directly to GAAP EPS 2.78 in raw_financials"
AMZN,L2,key_metrics.adjusted_eps_zacks,1.56,USD_per_share,Zacks Q1 earnings lag article,https://www.zacks.com/stock/news/2911220/amazon-amzn-q1-earnings-lag-estimates,2026-04-29,medium,"Adjusted EPS actual for consensus surprise comparison"
AMZN,L3,consensus_target,314.23,USD,StockAnalysis/S&P Global Market Intelligence,https://stockanalysis.com/stocks/amzn/statistics/,2026-07-17,medium,"Public provider snapshot; changed from older MarketBeat placeholder"
AMZN,L3,n_analysts,65,count,StockAnalysis/S&P Global Market Intelligence,https://stockanalysis.com/stocks/amzn/statistics/,2026-07-17,medium,"Analyst count from public statistics page"
PTT,L2,prior_estimates.revenue,747322.02,THB_million,Finanzen PTT estimates page,https://www.finanzen.net/schaetzungen/ptt,2026-07-17,low,"flag: unverified secondary public estimate; use as demo placeholder until broker/IAA snapshot is stored"
PTT,L2,prior_estimates.eps,0.94,THB_per_share,Finanzen PTT estimates page,https://www.finanzen.net/schaetzungen/ptt,2026-07-17,low,"flag: unverified secondary public estimate; actual EPS 0.91"
PTT,L3,consensus_target,40.22,THB,SETTRADE IAA Consensus,https://www.settrade.com/th/equities/quote/PTT/analyst-consensus,2026-07-17,medium,"Opened official public page; still save manual screenshot/export for evidence pack"
PTT,L3,n_analysts,18,count,SETTRADE IAA Consensus,https://www.settrade.com/th/equities/quote/PTT/analyst-consensus,2026-07-17,medium,"18 brokers"
PTT,L7,ground_truth.gt_analyst_rating,Buy,text,SETTRADE IAA Consensus,https://www.settrade.com/th/equities/quote/PTT/analyst-consensus,2026-07-17,medium,"Buy 14 Hold 4 Sell 0; summary Buy"
PTT,L7,ground_truth.gt_analyst_target,40.22,THB,SETTRADE IAA Consensus,https://www.settrade.com/th/equities/quote/PTT/analyst-consensus,2026-07-17,medium,"Average target price for 2026F"
