company_id,period,event_type,report_date,catalyst_date,information_cutoff,metric,actual,estimate,unit,basis,actual_source_id,estimate_source_id,surprise_pct
MSFT,FY2026-Q3,earnings_release,2026-04-29,2026-04-29,2026-04-29,revenue,82886000000,81460000000,USD,GAAP,MSFT_IR_Q3_RELEASE,MSFT_CAPITAL_PRE_20260429,1.7506
MSFT,FY2026-Q3,earnings_release,2026-04-29,2026-04-29,2026-04-29,gaap_eps,4.27,4.04,USD_per_share,GAAP,MSFT_IR_Q3_RELEASE,MSFT_CAPITAL_PRE_20260429,5.6931
MSFT,FY2026-Q3,earnings_release,2026-04-29,2026-04-29,2026-04-29,azure_growth_cc,0.39,0.375,ratio,constant_currency,MSFT_IR_Q3_RELEASE,MSFT_CAPITAL_PRE_20260429,4.0000
AMZN,FY2026-Q1,earnings_release,2026-04-29,2026-04-29,2026-04-29,revenue,181519000000,177100000000,USD,GAAP,AMZN_IR_Q1_RELEASE,AMZN_CAPITAL_PRE_20260429,2.4952
AMZN,FY2026-Q1,earnings_release,2026-04-29,2026-04-29,2026-04-29,gaap_eps,2.78,1.63,USD_per_share,GAAP_including_investment_gain,AMZN_IR_Q1_RELEASE,AMZN_CAPITAL_PRE_20260429,70.5521
AMZN,FY2026-Q1,earnings_release,2026-04-29,2026-04-29,2026-04-29,aws_revenue,37587000000,36800000000,USD,segment_GAAP,AMZN_IR_Q1_RELEASE,AMZN_CAPITAL_PRE_20260429,2.1386
AMZN,FY2026-Q1,earnings_release,2026-04-29,2026-04-29,2026-04-29,aws_operating_margin,0.377,0.357,ratio,segment_GAAP,AMZN_IR_Q1_RELEASE,AMZN_CAPITAL_PRE_20260429,5.6022
PTT,1Q2026,analyst_meeting_update,2026-05-14,2026-05-20,2026-05-20,net_income,25738000000,26400000000,THB,reported_attributable_profit,PTT_GLOBLEX_POST_20260514,PTT_KS_PRE_20260511,-2.5076
PTT,1Q2026,analyst_meeting_update,2026-05-14,2026-05-20,2026-05-20,core_profit,28589000000,31200000000,THB,broker_core_profit,PTT_GLOBLEX_POST_20260514,PTT_KS_PRE_20260511,-8.3686
