company_id,as_of_date,source,field,value,unit,confidence,verification_status,note
MSFT,2026-07-17,StockAnalysis/S&P Global statistics,consensus_rating,Strong Buy,text,medium,needs_manual_refresh,"Supersedes earlier MarketBeat placeholder; normalized to Buy in fixture schema"
MSFT,2026-07-17,StockAnalysis/S&P Global statistics,consensus_target,558.77,USD,medium,needs_manual_refresh,"Current source of truth for I/O; screenshot/export before final"
MSFT,2026-07-17,StockAnalysis/S&P Global statistics,n_analysts,56,count,medium,needs_manual_refresh,"Current source of truth for I/O; screenshot/export before final"
AMZN,2026-07-17,StockAnalysis/S&P Global statistics,consensus_rating,Strong Buy,text,medium,needs_manual_refresh,"Supersedes earlier MarketBeat placeholder; normalized to Buy in fixture schema"
AMZN,2026-07-17,StockAnalysis/S&P Global statistics,consensus_target,314.23,USD,medium,needs_manual_refresh,"Current source of truth for I/O; screenshot/export before final"
AMZN,2026-07-17,StockAnalysis/S&P Global statistics,n_analysts,65,count,medium,needs_manual_refresh,"Current source of truth for I/O; screenshot/export before final"
PTT,2026-07-17,SETTRADE IAA consensus page,last_price,38.75,THB,medium,needs_manual_snapshot,"SET factsheet price as of 2026-07-16; requires manual screenshot/export for final evidence pack"
PTT,2026-07-17,SETTRADE IAA consensus page,consensus_target,40.22,THB,medium,needs_manual_snapshot,"SETTRADE IAA public page opened on 2026-07-17; manual screenshot/export still recommended"
PTT,2026-07-17,SETTRADE IAA consensus page,n_analysts,18,count,medium,needs_manual_snapshot,"IAA broker count snapshot"
PTT,2026-07-17,SETTRADE IAA consensus page,rating_score,,score,medium,needs_manual_snapshot,"SETTRADE page shows summary Buy and Buy/Hold/Sell counts, not numeric score in current opened page"
PTT,2026-07-17,SET factsheet,pe_ratio,11.85,x,high,needs_manual_refresh,"SET factsheet as of 2026-07-16"
PTT,2026-07-17,SET factsheet,pbv_ratio,0.93,x,high,needs_manual_refresh,"SET factsheet as of 2026-07-16"
PTT,2026-07-17,SET factsheet,dividend_yield,,percent,medium,needs_manual_refresh,"Dividend yield not present in opened SET factsheet excerpt"
PTT,2026-07-17,SET factsheet,ev_ebitda,5.56,x,high,needs_manual_refresh,"SET factsheet as of 2026-07-16"
GOOGL,2026-07-17,StockAnalysis/S&P Global statistics,pe_ratio,27.04,x,medium,needs_manual_refresh,"Current source of truth moved to peer_multiples_2026-07-17.csv"
GOOGL,2026-07-17,StockAnalysis/S&P Global statistics,forward_pe,28.01,x,medium,needs_manual_refresh,"Current source of truth moved to peer_multiples_2026-07-17.csv"
GOOGL,2026-07-17,StockAnalysis/S&P Global statistics,ev_ebitda,26.62,x,medium,needs_manual_refresh,"Current source of truth moved to peer_multiples_2026-07-17.csv"
NVDA,2026-07-17,StockAnalysis/S&P Global statistics,pe_ratio,31.76,x,medium,needs_manual_refresh,"Current source of truth moved to peer_multiples_2026-07-17.csv"
NVDA,2026-07-17,StockAnalysis/S&P Global statistics,forward_pe,20.80,x,medium,needs_manual_refresh,"Current source of truth moved to peer_multiples_2026-07-17.csv"
NVDA,2026-07-17,StockAnalysis/S&P Global statistics,ev_ebitda,30.11,x,medium,needs_manual_refresh,"Current source of truth moved to peer_multiples_2026-07-17.csv"
ORCL,2026-07-17,StockAnalysis/S&P Global statistics,pe_ratio,21.31,x,medium,needs_manual_refresh,"Current source of truth moved to peer_multiples_2026-07-17.csv"
ORCL,2026-07-17,StockAnalysis/S&P Global statistics,forward_pe,15.44,x,medium,needs_manual_refresh,"Current source of truth moved to peer_multiples_2026-07-17.csv"
ORCL,2026-07-17,StockAnalysis/S&P Global statistics,ev_ebitda,16.18,x,medium,needs_manual_refresh,"Current source of truth moved to peer_multiples_2026-07-17.csv"
CRM,2026-07-17,StockAnalysis/S&P Global statistics,pe_ratio,20.05,x,medium,needs_manual_refresh,"Current source of truth moved to peer_multiples_2026-07-17.csv"
CRM,2026-07-17,StockAnalysis/S&P Global statistics,forward_pe,12.40,x,medium,needs_manual_refresh,"Current source of truth moved to peer_multiples_2026-07-17.csv"
CRM,2026-07-17,StockAnalysis/S&P Global statistics,ev_ebitda,13.35,x,medium,needs_manual_refresh,"Current source of truth moved to peer_multiples_2026-07-17.csv"
